"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9659","UI add note to trash from menu test","tests.ui","Fri Mar 07 16:21:51 GMT 2025","passed","Fri Mar 07 16:22:00 GMT 2025","","test_notes","",""
"","289","API get all users test","tests.api","Fri Mar 07 16:20:03 GMT 2025","passed","Fri Mar 07 16:20:04 GMT 2025","","test_user","",""
"","283","API delete product by ID test","tests.api","Fri Mar 07 16:20:02 GMT 2025","passed","Fri Mar 07 16:20:03 GMT 2025","","test_product","",""
"","286","API get all cards test","tests.api","Fri Mar 07 16:20:00 GMT 2025","passed","Fri Mar 07 16:20:00 GMT 2025","","test_card","",""
"","630","API get card by ID test","tests.api","Fri Mar 07 16:19:59 GMT 2025","passed","Fri Mar 07 16:20:00 GMT 2025","","test_card","",""
"","2012","UI create new category test","tests.ui","Fri Mar 07 16:20:24 GMT 2025","passed","Fri Mar 07 16:20:26 GMT 2025","","test_categories","",""
"","9619","UI add note to favorite from menu test","tests.ui","Fri Mar 07 16:21:40 GMT 2025","passed","Fri Mar 07 16:21:49 GMT 2025","","test_notes","",""
"","2688","UI delete category test","tests.ui","Fri Mar 07 16:20:28 GMT 2025","passed","Fri Mar 07 16:20:30 GMT 2025","","test_categories","",""
"","0","API create new user test","tests.api","Fri Mar 07 16:20:03 GMT 2025","skipped","Fri Mar 07 16:20:03 GMT 2025","","test_user","",""
"","271","API delete user by ID test","tests.api","Fri Mar 07 16:20:04 GMT 2025","passed","Fri Mar 07 16:20:04 GMT 2025","","test_user","",""
"","181","API create new card test","tests.api","Fri Mar 07 16:20:00 GMT 2025","passed","Fri Mar 07 16:20:00 GMT 2025","","test_card","",""
"","177","API get all products test","tests.api","Fri Mar 07 16:20:02 GMT 2025","passed","Fri Mar 07 16:20:02 GMT 2025","","test_product","",""
"","298","API delete card by ID test","tests.api","Fri Mar 07 16:20:01 GMT 2025","passed","Fri Mar 07 16:20:01 GMT 2025","","test_card","",""
"","204","API create new product test","tests.api","Fri Mar 07 16:20:01 GMT 2025","passed","Fri Mar 07 16:20:01 GMT 2025","","test_product","",""
"","290","API get user by ID test","tests.api","Fri Mar 07 16:20:03 GMT 2025","passed","Fri Mar 07 16:20:03 GMT 2025","","test_user","",""
"","11831","UI E2E move note to category test","tests.ui","Fri Mar 07 16:20:38 GMT 2025","passed","Fri Mar 07 16:20:50 GMT 2025","","test_e2e_notes_and_categoryes","",""
"","170","API update user test","tests.api","Fri Mar 07 16:20:03 GMT 2025","passed","Fri Mar 07 16:20:03 GMT 2025","","test_user","",""
"","509","API update product test","tests.api","Fri Mar 07 16:20:02 GMT 2025","passed","Fri Mar 07 16:20:02 GMT 2025","","test_product","",""
"","9111","UI add note to trash test","tests.ui","Fri Mar 07 16:21:22 GMT 2025","passed","Fri Mar 07 16:21:32 GMT 2025","","test_notes","",""
"","9093","UI add note to favorite test","tests.ui","Fri Mar 07 16:21:12 GMT 2025","passed","Fri Mar 07 16:21:21 GMT 2025","","test_notes","",""
"","5762","UI add text to scratchpad test","tests.ui","Fri Mar 07 16:21:33 GMT 2025","passed","Fri Mar 07 16:21:38 GMT 2025","","test_notes","",""
"","4839","UI rename category test","tests.ui","Fri Mar 07 16:20:32 GMT 2025","passed","Fri Mar 07 16:20:36 GMT 2025","","test_categories","",""
"","526","API update card test","tests.api","Fri Mar 07 16:20:00 GMT 2025","passed","Fri Mar 07 16:20:01 GMT 2025","","test_card","",""
"","190","API get product by ID test","tests.api","Fri Mar 07 16:20:02 GMT 2025","passed","Fri Mar 07 16:20:02 GMT 2025","","test_product","",""
"","363","API authn test","tests.api","Fri Mar 07 16:19:59 GMT 2025","passed","Fri Mar 07 16:19:59 GMT 2025","","test_authn","",""
"","10727","UI create note and when delete from trash test","tests.ui","Fri Mar 07 16:20:51 GMT 2025","passed","Fri Mar 07 16:21:01 GMT 2025","","test_e2e_notes_and_categoryes","",""
"","8555","UI create new note and view in preview mode test","tests.ui","Fri Mar 07 16:21:03 GMT 2025","passed","Fri Mar 07 16:21:11 GMT 2025","","test_notes","",""
